year,co2
1850,
1851,
1852,
1853,
1854,
1855,
1856,0.22719299793243400
1857,0.2690480053424840
1858,0.28454700112342800
1859,0.37271401286125200
1860,0.4348979890346530
1861,0.41006800532341000
1862,0.3553270101547240
1863,0.42596501111984300
1864,0.4795840084552770
1865,0.5718969702720640
1866,0.6460220217704770
1867,0.5547000169754030
1868,0.752481997
1869,0.6050440073013310
1870,0.6981670260429380
1871,0.844685972
1872,0.8583800196647640
1873,1.0290110111236600
1874,0.9960219860076900
1875,0.9397500157356260
1876,0.8430650234222410
1877,0.8784289956092830
1878,0.9494580030441280
1879,0.8080300092697140
1880,0.9234200119972230
1881,1.0310419797897300
1882,0.9481350183486940
1883,1.1702539920806900
1884,1.2826149463653600
1885,1.2154639959335300
1886,1.2360310554504400
1887,1.3155649900436400
1888,1.2831979990005500
1889,1.8604010343551600
1890,1.7135330438613900
1891,2.0720200538635300
1892,2.1456239223480200
1893,1.9696359634399400
1894,2.3082659244537400
1895,2.1881051063537600
1896,2.6155879497528100
1897,2.734325885772710
1898,2.681303024291990
1899,2.6129720211029100
1900,2.2722179889679000
1901,2.314927101135250
1902,2.554500102996830
1903,2.4422130584716800
1904,2.639233112335210
1905,2.8717451095581100
1906,3.248123884
1907,3.7220120429992700
1908,3.7296268939971900
1909,3.825869083404540
1910,4.584789752960210
1911,5.383972168
1912,5.477784156799320
1913,6.107222080230710
1914,4.657948970794680
1915,3.2117528915405300
1916,2.7350869178772000
1917,2.8401310443878200
1918,2.656656027
1919,2.967940092086790
1920,3.964005947113040
1921,2.8865950107574500
1922,4.026874065
1923,4.792902946472170
1924,5.319118022918700
1925,5.341588020324710
1926,5.469600200653080
1927,6.038804054260250
1928,6.083168983459470
1929,6.337247848510740
1930,5.787528991699220
1931,4.772610187530520
1932,4.780363082885740
1933,5.177471160888670
1934,5.158074855804440
1935,5.378230094909670
1936,5.617305755615230
1937,6.731250762939450
1938,7.179337978363040
1939,5.614746094
1940,5.654414176940920
1941,6.280670166015630
1942,5.866699219
1943,6.474923133850100
1944,5.895771026611330
1945,6.822912216186520
1946,7.460240840911870
1947,8.947466850280760
1948,7.8474650382995600
1949,7.366799831390380
1950,19.659072875976600
1951,21.659347534179700
1952,24.934309005737300
1953,25.21843910217290
1954,29.675626754760700
1955,34.02369308
1956,36.608455657959000
1957,35.977394104003900
1958,39.05392837524410
1959,39.0170784
1960,46.85181808
1961,49.13493728637700
1962,53.61085510253910
1963,55.51937484741210
1964,56.62101745605470
1965,56.27260208129880
1966,64.15387725830080
1967,66.02199554
1968,77.21043395996090
1969,84.07183074951170
1970,93.46697998046880
1971,102.31395721435500
1972,113.99200439453100
1973,132.02920532226600
1974,142.9805450439450
1975,150.2871551513670
1976,154.56187438964800
1977,162.31358337402300
1978,177.06060791015600
1979,187.7277374267580
1980,186.12738037109400
1981,171.2619171142580
1982,171.43914794921900
1983,165.8513184
1984,167.5242462158200
1985,180.06483459472700
1986,197.1833953857420
1987,205.9117889404300
1988,207.6402587890630
1989,212.01596069335900
1990,218.65768432617200
1991,229.39358520507800
1992,233.60086059570300
1993,244.3055419921880
1994,254.00225830078100
1995,268.6775207519530
1996,289.3109130859380
1997,306.9490661621090
1998,317.35943603515600
1999,327.2556457519530
2000,340.18280029296900
2001,346.1657409667970
2002,347.76495361328100
2003,344.6449279785160
2004,361.43402099609400
2005,364.37054443359400
2006,368.8709411621090
2007,390.57342529296900
2008,412.6378479003910
2009,389.77532958984400
2010,440.269043
2011,461.91131591796900
2012,497.46820068359400
2013,531.5688477
2014,556.5255126953130
2015,528.1735229492190
2016,491.7448425292970
2017,497.2545471191410
2018,476.6005554199220
2019,476.7237548828130
2020,447.9993896484380
2021,496.5619812011720
2022,480.05828857421900
2023,483.9919434
2024,483.01153564453100
